"filename", "language", "Dart", "comment", "blank", "total"
"g:\android\gh_styles\lib\auth_and_validation\auth_service.dart", "Dart", 66, 2, 8, 76
"g:\android\gh_styles\lib\auth_and_validation\shop_validator.dart", "Dart", 32, 6, 11, 49
"g:\android\gh_styles\lib\auth_and_validation\validation_login.dart", "Dart", 17, 0, 3, 20
"g:\android\gh_styles\lib\auth_and_validation\validation_product.dart", "Dart", 20, 0, 3, 23
"g:\android\gh_styles\lib\auth_and_validation\validation_signup.dart", "Dart", 25, 0, 4, 29
"g:\android\gh_styles\lib\main.dart", "Dart", 43, 0, 4, 47
"g:\android\gh_styles\lib\models\cart_model.dart", "Dart", 50, 0, 5, 55
"g:\android\gh_styles\lib\models\product_model.dart", "Dart", 44, 0, 4, 48
"g:\android\gh_styles\lib\models\shops_model.dart", "Dart", 35, 0, 4, 39
"g:\android\gh_styles\lib\models\user_model.dart", "Dart", 19, 0, 4, 23
"g:\android\gh_styles\lib\models\users_auth_model.dart", "Dart", 16, 0, 4, 20
"g:\android\gh_styles\lib\providers\cart_provider.dart", "Dart", 67, 1, 9, 77
"g:\android\gh_styles\lib\providers\login_provider.dart", "Dart", 87, 2, 11, 100
"g:\android\gh_styles\lib\providers\main_app_state_provider.dart", "Dart", 9, 0, 4, 13
"g:\android\gh_styles\lib\providers\product_details_provider.dart", "Dart", 79, 1, 11, 91
"g:\android\gh_styles\lib\providers\product_management_provider.dart", "Dart", 324, 11, 37, 372
"g:\android\gh_styles\lib\providers\register_provider.dart", "Dart", 85, 2, 11, 98
"g:\android\gh_styles\lib\providers\shop_management_provider.dart", "Dart", 244, 5, 35, 284
"g:\android\gh_styles\lib\providers\shop_profile_provider.dart", "Dart", 89, 1, 7, 97
"g:\android\gh_styles\lib\providers\user_profile_provider.dart", "Dart", 0, 0, 1, 1
"g:\android\gh_styles\lib\screens\add_product.dart", "Dart", 22, 0, 2, 24
"g:\android\gh_styles\lib\screens\add_shop.dart", "Dart", 121, 3, 7, 131
"g:\android\gh_styles\lib\screens\auth_screens\forgot.dart", "Dart", 13, 0, 4, 17
"g:\android\gh_styles\lib\screens\auth_screens\login.dart", "Dart", 26, 1, 3, 30
"g:\android\gh_styles\lib\screens\auth_screens\login_signup_toggle.dart", "Dart", 21, 0, 4, 25
"g:\android\gh_styles\lib\screens\auth_screens\register.dart", "Dart", 21, 0, 3, 24
"g:\android\gh_styles\lib\screens\create_shop_bg.dart", "Dart", 60, 0, 3, 63
"g:\android\gh_styles\lib\screens\home_screen.dart", "Dart", 143, 11, 8, 162
"g:\android\gh_styles\lib\screens\main_screen_wrapper.dart", "Dart", 79, 1, 7, 87
"g:\android\gh_styles\lib\screens\onboarding\slide_item.dart", "Dart", 52, 0, 3, 55
"g:\android\gh_styles\lib\screens\onboarding\slider.dart", "Dart", 25, 0, 4, 29
"g:\android\gh_styles\lib\screens\onboarding_screen.dart", "Dart", 131, 0, 10, 141
"g:\android\gh_styles\lib\screens\product_favorites.dart", "Dart", 13, 0, 3, 16
"g:\android\gh_styles\lib\screens\products\bags.dart", "Dart", 24, 0, 5, 29
"g:\android\gh_styles\lib\screens\products\clothings.dart", "Dart", 24, 0, 5, 29
"g:\android\gh_styles\lib\screens\products\footwears.dart", "Dart", 24, 0, 5, 29
"g:\android\gh_styles\lib\screens\products\product_details.dart", "Dart", 423, 3, 13, 439
"g:\android\gh_styles\lib\screens\products\products_overview.dart", "Dart", 75, 1, 5, 81
"g:\android\gh_styles\lib\screens\products\shirts.dart", "Dart", 24, 0, 5, 29
"g:\android\gh_styles\lib\screens\products\shopping_cart.dart", "Dart", 282, 3, 10, 295
"g:\android\gh_styles\lib\screens\products\shorts.dart", "Dart", 24, 0, 5, 29
"g:\android\gh_styles\lib\screens\shop.dart", "Dart", 46, 0, 4, 50
"g:\android\gh_styles\lib\screens\shop_profile.dart", "Dart", 274, 1, 6, 281
"g:\android\gh_styles\lib\screens\splashscreen.dart", "Dart", 30, 0, 7, 37
"g:\android\gh_styles\lib\screens\user_profile.dart", "Dart", 287, 13, 4, 304
"g:\android\gh_styles\lib\screens\wrapper.dart", "Dart", 38, 0, 6, 44
"g:\android\gh_styles\lib\services\fetch_cart_service.dart", "Dart", 34, 1, 4, 39
"g:\android\gh_styles\lib\services\fetch_product_service.dart", "Dart", 65, 0, 7, 72
"g:\android\gh_styles\lib\services\fetch_shop_service.dart", "Dart", 20, 0, 5, 25
"g:\android\gh_styles\lib\services\products_services.dart", "Dart", 289, 15, 16, 320
"g:\android\gh_styles\lib\services\route_service.dart", "Dart", 92, 0, 14, 106
"g:\android\gh_styles\lib\services\search_service.dart", "Dart", 33, 0, 5, 38
"g:\android\gh_styles\lib\services\shopping_cart_services.dart", "Dart", 144, 7, 9, 160
"g:\android\gh_styles\lib\services\shops_services.dart", "Dart", 230, 8, 15, 253
"g:\android\gh_styles\lib\services\user_service.dart", "Dart", 17, 0, 6, 23
"g:\android\gh_styles\lib\test_data.dart", "Dart", 90, 0, 4, 94
"g:\android\gh_styles\lib\utils\colorUtils.dart", "Dart", 0, 0, 1, 1
"g:\android\gh_styles\lib\utils\constants.dart", "Dart", 15, 0, 1, 16
"g:\android\gh_styles\lib\utils\stringUtils.dart", "Dart", 0, 0, 1, 1
"g:\android\gh_styles\lib\widgets\add_product_form.dart", "Dart", 546, 29, 21, 596
"g:\android\gh_styles\lib\widgets\add_shop_form.dart", "Dart", 160, 0, 13, 173
"g:\android\gh_styles\lib\widgets\business_logo_picker.dart", "Dart", 51, 2, 4, 57
"g:\android\gh_styles\lib\widgets\confirm_delete.dart", "Dart", 42, 0, 6, 48
"g:\android\gh_styles\lib\widgets\login_form.dart", "Dart", 158, 0, 9, 167
"g:\android\gh_styles\lib\widgets\page_header_banner.dart", "Dart", 23, 0, 2, 25
"g:\android\gh_styles\lib\widgets\product_grid_container.dart", "Dart", 186, 5, 9, 200
"g:\android\gh_styles\lib\widgets\product_horizontal_list_container.dart", "Dart", 232, 1, 8, 241
"g:\android\gh_styles\lib\widgets\register_form.dart", "Dart", 167, 0, 9, 176
